Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,High rolling_mean_win(3),High rolling_mean_win(7),Low rolling_mean_win(3),Low rolling_mean_win(7),Volume rolling_mean_win(3),Volume rolling_mean_win(7),Turnover rolling_mean_win(3),Turnover rolling_mean_win(7),High rolling_std_win(3),High rolling_std_win(7),Low rolling_std_win(3),Low rolling_std_win(7),Volume rolling_std_win(3),Volume rolling_std_win(7),Turnover rolling_std_win(3),Turnover rolling_std_win(7)
2002-01-10,BAJAUTOFIN,EQ,34.75,35.4,35.5,34.25,34.25,34.4,34.98,1050,3672500000.0,450.0,0.4286,35.31666666666667,34.971428571428575,34.166666666666664,33.92142857142857,1051.0,835.1428571428571,3649866666.6666665,2873358571.428571,0.74218146927375,0.6349915634985145,0.1443375672974081,0.4299778510353212,251.50149104925814,462.9241941439327,913260369.9566369,1600642486.0081296
2002-01-11,BAJAUTOFIN,EQ,34.4,34.35,34.75,34.35,34.35,34.35,34.36,675,2319625000.0,675.0,1.0,35.400000000000006,35.07857142857143,34.28333333333334,34.114285714285714,1009.3333333333334,860.1428571428571,3514575000.0,2963055000.0,0.6062177826491162,0.49062642174498616,0.05773502691897112,0.17491494531696913,315.9688803242076,446.2329095033327,1124336839.8193667,1539829109.298063
2002-01-14,BAJAUTOFIN,EQ,34.35,35.1,36.35,34.2,34.2,34.2,35.18,2888,10160960000.0,2588.0,0.8961,35.53333333333333,35.292857142857144,34.266666666666666,34.16428571428572,1537.6666666666667,1065.857142857143,5384361666.666667,3711955000.0,0.8005206639015289,0.6692212958783885,0.07637626158260194,0.13138456820306285,1184.3590390305355,881.7731054663718,4191597120.4194155,3116780633.8712707
2002-01-15,BAJAUTOFIN,EQ,34.2,35.5,36.75,35.5,36.0,36.0,36.33,950,3451000000.0,950.0,1.0,35.949999999999996,35.542857142857144,34.68333333333334,34.371428571428574,1504.3333333333333,1115.857142857143,5310528333.333333,3911097857.142857,1.0583005244258432,0.8452951020346795,0.7112196097783979,0.5122313465427069,1206.153528093888,860.6240814222023,4238515997.658654,3036926775.409445
2002-01-16,BAJAUTOFIN,EQ,36.0,38.75,38.9,36.0,38.9,38.65,37.46,19969,74794105000.0,16870.0,0.8448000000000001,37.333333333333336,36.1,35.233333333333334,34.65,7935.666666666667,3947.8571428571427,29468688333.333332,14525041428.571428,1.3714347718113897,1.4770466027403073,0.9291573243177631,0.7724420150837666,10466.126042301103,7104.000127359501,39396077695.699715,26706703844.9189
2002-01-17,BAJAUTOFIN,EQ,38.65,39.05,41.6,38.25,39.0,39.0,39.75,6938,27579365000.000004,4942.0,0.7123,39.083333333333336,37.114285714285714,36.583333333333336,35.25714285714286,9285.666666666666,4824.714285714285,35274823333.333336,18075593571.42857,2.4301920363077065,2.3656771908755014,1.4648663192705973,1.5020620746794984,9724.414858146136,7029.114541540437,36288768468.77431,26528065088.098007
2002-01-18,BAJAUTOFIN,EQ,39.0,38.5,40.85,38.5,38.75,38.95,38.97,5697,22199125000.0,4861.0,0.8533,40.449999999999996,37.81428571428571,37.583333333333336,35.864285714285714,10868.0,5452.428571428572,41524198333.333336,20596668571.42857,1.3937359864766656,2.669224963310878,1.3768926368215566,1.8465540622364407,7906.084429096365,6856.273790165783,28937894927.25643,25858730953.468395
2002-01-21,BAJAUTOFIN,EQ,38.95,38.25,39.1,37.5,39.0,38.7,38.6,1270,4902050000.0,1020.0,0.8031,40.516666666666666,38.32857142857143,38.083333333333336,36.32857142857143,4635.0,5483.857142857143,18226846666.666668,20772318571.42857,1.2829003598617534,2.489788669555648,0.5204164998666311,1.7804159492604366,2979.5031464994295,6833.195431825713,11849025287.77826,25728458299.951912
2002-01-22,BAJAUTOFIN,EQ,38.7,38.75,39.0,38.0,38.0,38.2,38.35,3580,13728250000.0,3380.0,0.9441,39.65,38.93571428571429,38.0,36.85,3515.6666666666665,5898.857142857143,13609808333.333334,22402122142.857143,1.0404326023342767,1.926074220989934,0.5000000000000991,1.6327379867367917,2214.201059825718,6575.831365147462,8649145750.315958,24705750286.057037
2002-01-23,BAJAUTOFIN,EQ,38.2,38.75,41.25,38.75,40.5,40.45,40.37,6500,26241850000.0,6400.0,0.9846,39.78333333333333,39.635714285714286,38.083333333333336,37.5,3783.3333333333335,6414.857142857143,14957383333.333334,24699392142.857143,1.2711543310445854,1.7077554190892408,0.6291528696059782,1.2665570127975425,2620.922229546946,6440.518468481953,10722865408.711126,24118457304.2478
2002-01-24,BAJAUTOFIN,EQ,40.45,41.2,41.7,39.2,40.25,40.55,40.59,5719,23210895000.0,4869.0,0.8514,40.65,40.34285714285714,38.65,38.028571428571425,5266.333333333333,7096.142857142857,21060331666.666668,27522234285.714287,1.4465476141489713,1.2866068330524523,0.606217782649208,1.0455688813819224,1511.714368964367,6003.501351394072,6528111382.935239,22305239620.487427
2002-01-25,BAJAUTOFIN,EQ,40.55,39.1,40.8,39.1,39.5,39.5,39.72,2225,8838200000.0,2125.0,0.9551,41.25,40.614285714285714,39.01666666666667,38.471428571428575,4814.666666666667,4561.285714285715,19430315000.0,18099962142.857143,0.45000000000009494,1.1212769081551746,0.2362907813129094,0.6081783886171058,2276.460044308561,2209.4964520063277,9297383889.187609,8927029901.62783
2002-01-28,BAJAUTOFIN,EQ,39.5,40.3,40.3,39.55,40.3,40.0,39.84,2195,8744075000.0,1885.0,0.8588,40.93333333333333,40.42857142857143,39.28333333333333,38.65714285714286,3379.6666666666665,3883.714285714286,13597723333.333334,15409206428.571428,0.7094598884598139,1.035155842879582,0.23629078131291942,0.7178837948143728,2025.9776240949298,2082.789132732488,8325383894.96296,8417675438.142916
2002-01-29,BAJAUTOFIN,EQ,40.0,39.55,40.0,39.55,39.8,39.8,39.8,1750,6965700000.0,1750.0,1.0,40.36666666666667,40.30714285714286,39.4,38.80714285714286,2056.6666666666665,3319.8571428571427,8182658333.333333,13233002857.142857,0.4041451884328074,1.02730576892046,0.25980762113559946,0.7860388939849483,266.0043859287615,2043.9851131691544,1054967093.1875736,8338488386.233386
2002-01-30,BAJAUTOFIN,EQ,39.8,39.0,40.9,39.0,40.7,40.4,39.89,3200,12766070000.0,2100.0,0.6563,40.4,40.56428571428571,39.36666666666667,39.021428571428565,2381.6666666666665,3595.5714285714284,9491948333.333334,14356434285.714285,0.4582575694956482,0.8910266951268603,0.3175426480545103,0.534522483824788,742.8043708361827,1841.538021794354,2971625636.963485,7518431739.912286
2002-01-31,BAJAUTOFIN,EQ,40.4,40.65,40.7,40.3,40.35,40.35,40.51,1130,4577600000.0,1130.0,1.0,40.53333333333333,40.80714285714286,39.61666666666667,39.35,2026.6666666666667,3245.5714285714284,8103123333.333333,13049198571.428572,0.47258156262533035,0.5660010095903295,0.6525590650151752,0.5082650227324923,1062.3715608643417,2064.3349903494177,4211063893.4399505,8390766978.928259
2002-02-01,BAJAUTOFIN,EQ,40.35,38.55,40.45,38.55,40.45,40.45,39.96,2905,11607900000.0,2805.0,0.9656,40.68333333333334,40.692857142857136,39.28333333333333,39.32142857142857,2411.6666666666665,2732.0,9650523333.333334,10958634285.714285,0.22546248764130408,0.5419321693631074,0.9087537253477789,0.5514051315027341,1119.713505024092,1485.8929974934188,4431281168.763006,6053482463.223448
2002-02-04,BAJAUTOFIN,EQ,40.45,40.05,40.5,40.0,40.45,40.45,40.36,900,3632750000.0,850.0,0.9444,40.550000000000004,40.521428571428565,39.61666666666667,39.43571428571429,1645.0,2043.5714285714287,6606083333.333333,8161756428.571428,0.13228756555347654,0.3107211274563458,0.9358596760911765,0.6025738445163097,1097.2351616677277,852.8174593942106,4357386011.800383,3382821980.677701
2002-02-05,BAJAUTOFIN,EQ,40.45,39.3,40.5,38.0,39.1,39.5,39.53,5865,23185950000.0,5145.0,0.8772,40.48333333333334,40.47857142857142,38.849999999999994,39.278571428571425,3223.3333333333335,2563.5714285714284,12808866666.666666,10211435000.0,0.028867513460543934,0.2855654374180153,1.0331989159886485,0.8118174788999979,2497.7606637412914,1685.2984757546449,9831767300.990887,6639797288.0823145
